"","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q8_text"
"137","say hi to classmate","everyone knows that ucla is really quality","writing / grammar/ pronunciation","volunteer","in school","no","go to certificate","5","Very likely"
"138","surfing the net","sophisticated and remarkable school","the environment","constructing a garden inside the school building and teach classes in there","self-studying","I worked as legal adviser for the Saudi Counsel of Ministers.","my goal is acquiring my master degree in law by preparing myself for academic studies and research in ALC.","4","Likely"
"139","ok","I like ucla","Ben Goldberg","nothing","no  experience","no  experience","good English experience","5","Very likely"
"140","from a friend","improve my writing and reading","too much to mention, but the activities after school that is fun and also educational like the Grad slam; Karen transformed my 7 pages of CV into 2 pages and half resume, and with a perfect personal statement. her focus is for me to learn how to change more than just changing everything. A smile is always there no matter what day or time it is, i kinda wanna come on Saturday to smile to them too.","social events, to more active events not only lectures","good","2 years as an occupational therapist, an editor to the Saudi occupational therapy magazine","attending a masters program and ultimately work in the US","4","Likely"
"141","internet","it is good","my teahcers","less homework   :)",".","NO",".","4","Likely"
"142","Searching the internet","UCLA is very well known school.","Scoring for every works forced me studied hard.","I didn't attend.","I studied English in the academy in my country.","I worked with people who is living in the US.","Communication with American without any difficulties.","5","Very likely"
"143","by searching internet","because UCLA is a good university and it is a safe than downtown","international students, teachers are always willing to get questions from students","social events","i haven't had a lot of chance to write an essay","i worked at the hotel as an intern","find another internship and finish my university successfully","5","Very likely"
"144","On the website.","Because is from UCLA, one of the best universities in the world.","The teachers and the classes are really good.","If I could work as a volunteer, would be amazing.","Was a good a experience, but here is better.","I'm journalist and I used to work in the most famous communication company from my country.","My time here have helped me to achieve my goals and after here I want to start a certificate at UCLA.","5","Very likely"
"145","from my brother","the best place to learn English accuracy","when we improve our skills","new adventure","it was nice and when I moved to ALC it's really good choice","I haven't","to give the best and be successful person who can speak English very well, to attend the classes","5","Very likely"
"146","online","good education","make more friends","field trip","poor listening","no","apply for university","5","Very likely"
"147","Internet search.","to improve my English","Everything.","Volunteer.","It was good","I was studying before I joined the American Language Center.","To study masters degree.","5","Very likely"
"148","good","i like it","write easy","showcase","very good","idk","many friends","4","Likely"
"149","Classmate","Because of the Good reputation","A lot of things; Thanks","I don’t know","Not bad","Not too much","Nothing","5","Very likely"
"150","Great","Because its reputation  was excellent.","Teaches","Connection with native friends","My experience was only studying in schools.","My working was HR in Japanese wedding company.","My most important goal is to be able to understand English  and speak it fluently to join the certificate program in UCLA extension.","5","Very likely"
"151","Trough UCLA.","Because I want to apply to a certificate program.","The teachers.","Maybe meeting with the students after class. The time that I tried to say my difficulties I didn't like the way that Judy talked with me. Sometimes I couldn't say some words and the way that she corrected me made me feel a little bad.","I studied around 6 months in my country of origin.","Before I came here, I had been working in a multinational company for almost 6 years.","After complete my studies and after to be fluently in English, I want to do a Certificate program, and maybe find a job in the US.","4","Likely"
"152","pretty good","the prestige for CV","the building","i went to talk with her sometimes and felt that she doesn't have much willingness to help. what bothered me most about the visit with Judy was the number of times he commented that to be good in English we must complete all levels of UCLA. it's unfortunante to hear that because you realize that they do not care about your learning or your skills, they onlu care about the money you spend on the course.  Personally i think Judy doesn't have many soft skills in dealing with people. not only did it happen to me, other classmate felts the same. Many times the teachers were better advisors than her.","not to good/\","i'm working like a teacher in a elementary schoold and i'm academic in the university of Chile.","apply to a master in Standford. this course prepares me for the TOELF.","3","Not sure"
"153","From my agent","Because there is a good location","Friendly teacher's lessons","social events","None","I had studied English speaking skills.","My goal is to become able to speak English fluency.  Talking more helps me to improve my skills.","4","Likely"
"154","ask question","Because i may take a great education and it gets together people in LA who come from all over the world","event party","volunteer","I have been learning English since i entered junior high school.","I was going to university in Japan.","speaking English more frequently","5","Very likely"
"155","the internet","certificate program","teachers","museums","private lessons","lawyer","Master Degree","5","Very likely"
"156","I improve my English","Because more academic","The program","Everything","nothing","it was not good","to get master's degree","5","Very likely"
"157","Great","- i would like to continue master degree at ucla. ALC provide a lot of information about that.  - the teacher also is awesome.","- teacher   - activities","- volunteer","focus only grammar , but  i can't speak or listen.","i work at bank company.","continue master degree at ucla.","5","Very likely"
"158","logic","feeling","elective classes","social events in reality business company","slowly to get","sometimes need english as a communication tool.","expand business trade market","5","Very likely"
"159","Google","I think it is the best","High quality lessons","Social events","Since primary school","No working experience","TOEFL, certificate program, master degree","5","Very likely"
"160","dont afraid","high teaching quality","the environment","the showcase","emmm...not bad","none","maybe the master digree","5","Very likely"
"161","from my cousin","it is in a good area , strong reputation","good system","yes","good","i did not have","studying PH","5","Very likely"
"162","My big brother recommend for me","Because it's the best place to learn english","Everything is good and excellent","nothing","....",".....","to start studying in the university and get the Ba degree","3","Not sure"
"163","good","I like UCLA","Michael Daniels","nothing","NOTHING","NO WORKING","TOEFL 100+","5","Very likely"
"164","through local agency","related UCLA Extension(waive the required English score)","well organized curriculum and good teacher","something for communication 1-on-1 with native speaker","study for exam(TOEIC and TOEFL)","working in the company for 10years","Increase ability that I need to study in US university","5","Very likely"
"165","Through internet.","Because of UCLA's great reputation.","The teachers.","More ways to de connected with native Americans. My wife took the course with me and the only time that she tried to talk with an academic advisor she was attended to with some disregard.  I thought it would be a more responsive service.","Was good.","I have been working with advertising for the past 8 years. It's been awesome.","My main is to take a certificate program. Now I feel much closer to that goal","4","Likely"
"166","From agent","Location and quality of education","We have many activities and events.","Activities","In the high school","Only the part time job","Improve my English skills.","5","Very likely"
"167","I learned about ALC from my friend who studied in UCLA Extension.","Because I think ALC is one of the best school in the world.","I found a lot of opportunities for speaking practices","Maybe there should be more social events to learn about American culture","I had taken private lesson for 1 year.","..","I want to apply to MBA after ALC","5","Very likely"
"168","Internet","To know how’s works UCLA system","The teachers","Some activities in UCLA campus","Wonderful, I studied in Canada before.","I’m a Dentist","I want improve my English to get a UCLA PPID Program","4","Likely"
"169","A lot of things","I was here last quarter","The quality of the books and teachers","Sport activities","Amazing","Was good","Score on ielts and toefl. With the electives","5","Very likely"
"170","Very good","High recommendation","The strategies","No idea","Not bad","A","Get a master degree","5","Very likely"
"171","when I came here about 3 years ago through my school trip, I went to UCLA and I'm impressed the university","location and fulfillment","Workshop","events","from junior high school to university","only part time","at first I have to graduate my university and after that I want to come back here study more and working here. ALC helped me to suggest good plan for my future","5","Very likely"
"172","Internet","Improving my reading and writing skills.","All the teachers are nice and willing to answer students questions.","Volunteer","Studying in school","a teacher in middle school","It’s good to be here meeting a lot of new people, and having good information about studying abroad in the USA.","4","Likely"
